0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
190,247,133,195,241,239,247,126,138,250,143,253,251,127,254,7,0,32,128,7,240,0,191,255,232,193,255,239,123,255,200,85,31,85,170,250,170,253,127,0,254,3,244,129,15,218,255,191,255,247,255,255,255,252,224,193,231,243,253,255,1
245,9,74,254,201,153,240,127,10,248,165,205,195,56,255,11,17,241,255,255,255,0,80,68,17,183,3,144,255,14,255,221,127,119,47,68,64,116,127,136,18,17,253,35,68,31,191,223,239,255,253,142,119,126,64,128,128,249,255,127,3
96,248,3,0,128,14,255,54,89,254,224,161,243,255,239,55,0,96,0,8,0,0,0,130,10,20,20,11,122,240,254,85,125,17,7,226,32,126,125,196,171,139,255,129,239,15,32,60,8,7,225,16,190,255,254,253,255,195,253,255,55
225,231,15,4,128,239,255,63,240,199,252,143,195,113,238,247,17,96,4,8,0,0,112,0,1,2,0,248,127,255,254,43,151,202,85,185,149,139,204,115,229,230,2,220,15,244,161,127,232,7,252,208,143,127,254,255,255,251,127,255,37
