0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
33,230,13,0,128,17,56,128,44,7,126,140,131,97,254,223,29,96,0,0,0,0,112,128,1,0,0,220,135,0,15,0,128,1,48,245,83,15,0,0,252,255,3,126,240,48,0,124,0,7,224,0,142,120,254,253,255,227,249,255,63
192,225,7,0,0,16,72,8,68,255,114,136,199,241,238,255,0,32,0,0,0,0,0,128,1,2,0,0,128,0,199,8,6,130,65,48,132,167,255,255,1,252,255,189,127,193,1,124,0,15,224,0,142,255,255,255,255,255,121,255,31
64,237,3,0,0,0,32,98,81,252,248,131,195,113,254,31,0,0,0,0,0,0,0,128,0,0,0,0,2,0,160,136,56,34,70,196,68,44,255,254,17,252,255,127,208,62,0,30,128,7,240,0,143,255,254,253,255,255,253,255,52
192,121,2,4,0,16,160,255,31,248,129,12,0,128,239,31,0,192,5,248,0,9,0,0,1,2,0,0,132,0,136,251,255,255,79,0,0,224,254,255,1,0,248,127,64,74,8,28,0,64,240,4,255,255,236,129,253,239,123,255,15
97,248,9,4,128,17,56,245,255,7,141,141,199,48,255,207,1,0,0,0,0,0,112,0,1,2,0,28,132,0,138,187,247,238,213,189,221,11,128,255,39,0,16,254,0,97,1,94,128,15,240,0,255,127,255,255,255,227,123,255,1
192,231,3,0,0,0,136,74,69,233,114,128,195,241,239,207,1,64,0,8,0,0,0,128,0,0,0,0,2,0,199,1,98,128,0,16,0,225,255,255,65,252,235,127,251,96,1,30,128,15,240,0,15,255,254,253,255,255,253,255,26
