0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,6,54,0,182,0,11,128,228,7,118,0,196,48,246,195,238,44,2,0,0,119,183,147,0,0,220,77,0,112,67,38,0,0,48,255,255,31,0,0,252,255,3,0,255,96,6,130,1,184,112,3,23,0,0,230,195,241,255,127,0
97,13,126,60,14,17,120,10,229,255,114,12,4,0,192,223,255,225,127,240,15,255,112,128,1,2,0,16,134,0,191,156,166,231,71,20,207,127,218,40,80,208,252,127,177,224,1,96,0,8,0,0,0,0,0,2,0,252,127,255,7
1,16,124,56,14,0,0,0,64,255,112,12,4,0,238,255,255,225,31,240,0,15,112,128,1,2,0,0,0,0,103,12,2,0,120,240,7,49,8,0,0,252,239,121,255,248,1,32,0,0,0,0,0,128,225,1,128,231,249,255,31
224,31,66,56,142,17,248,255,191,22,143,3,0,128,255,7,30,128,71,240,8,143,0,0,0,0,0,28,134,0,254,247,255,253,151,207,251,207,101,191,255,35,148,132,12,30,0,0,0,8,0,0,112,248,1,2,0,240,255,255,0
1,6,126,28,6,0,120,18,64,239,244,13,0,0,254,255,255,224,15,240,1,31,32,128,0,0,0,0,2,0,191,8,32,3,65,0,102,63,255,64,0,252,255,113,255,135,0,32,0,0,0,0,0,0,0,0,192,255,253,255,63
33,13,108,4,128,1,176,224,27,132,205,135,1,122,255,199,31,65,2,104,0,0,112,132,0,0,0,16,205,9,52,3,217,64,62,200,0,8,100,144,63,35,155,231,140,255,14,174,131,3,0,159,63,0,0,0,228,227,253,255,0
65,136,108,20,128,1,160,225,16,132,200,55,0,94,0,225,221,65,55,232,6,0,112,135,13,0,8,28,0,0,176,0,240,223,6,128,33,8,64,6,111,15,6,193,141,126,110,2,2,120,19,55,177,137,6,0,124,7,128,29,56
30,24,176,249,127,34,131,82,73,218,164,29,0,2,208,62,254,142,255,255,255,255,191,187,174,76,220,1,8,113,8,133,232,43,106,68,2,48,34,0,16,117,139,110,212,218,39,32,0,0,0,0,0,0,2,254,255,3,254,175,55
119,93,254,39,201,223,252,253,138,80,143,217,255,41,245,216,255,127,119,143,200,136,252,255,153,51,35,254,247,140,127,183,91,4,250,255,8,212,46,187,126,3,136,110,68,218,55,91,77,186,89,8,212,44,129,102,3,129,254,79,26
225,242,13,4,128,17,152,114,93,248,240,251,255,255,0,192,1,96,0,0,0,0,96,130,25,18,16,24,6,0,95,213,86,53,173,182,106,242,127,5,222,11,236,1,240,229,225,97,120,0,15,240,128,223,255,253,254,15,0,0,52
33,236,15,4,0,16,56,0,146,244,143,255,255,111,0,222,1,96,0,8,0,0,240,0,1,6,0,0,132,8,63,2,145,70,213,232,141,14,196,209,161,162,246,253,15,247,231,255,120,8,12,192,0,7,254,253,255,31,134,0,24
129,226,15,0,128,0,0,137,36,1,114,254,187,111,128,254,1,96,0,8,0,0,112,128,0,0,0,4,0,16,192,55,138,141,186,81,27,149,8,2,94,71,0,104,253,216,97,97,88,8,11,176,176,255,254,253,255,3,128,0,62
30,184,240,251,127,102,7,64,71,185,16,22,139,98,244,30,238,159,251,247,255,255,191,185,226,196,253,99,56,119,0,0,225,227,60,24,131,1,4,16,96,248,126,223,9,240,126,28,12,195,97,63,239,177,199,135,5,129,176,255,15
