0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
128,6,3,0,6,0,24,249,191,7,255,192,230,249,255,37,0,0,0,48,0,119,16,0,0,0,28,13,0,64,15,102,158,217,191,255,187,143,1,230,255,239,7,128,255,97,16,23,196,173,248,136,127,124,241,227,227,250,255,191,48
128,22,2,0,6,0,26,249,191,7,255,192,230,249,255,52,0,0,0,48,0,119,16,0,0,0,28,13,0,64,15,102,158,221,255,255,187,143,1,6,254,239,7,128,255,3,0,17,196,173,248,136,127,124,241,227,99,250,255,15,52
65,8,126,60,14,17,192,66,0,8,240,15,4,0,238,255,255,225,127,248,7,15,112,128,1,2,0,0,0,0,192,159,224,39,248,4,12,96,128,1,0,0,248,127,240,192,15,224,3,120,0,1,0,0,0,0,192,255,255,255,0
71,16,124,60,142,17,192,66,65,24,128,15,4,0,238,255,255,225,127,248,15,255,240,135,3,2,0,0,2,0,192,95,224,23,248,0,15,112,128,0,0,0,252,129,255,231,31,224,7,248,0,15,112,128,0,0,0,224,121,255,63
33,16,124,60,142,17,192,131,97,0,112,12,4,0,238,255,255,225,127,248,15,255,240,135,1,2,0,28,2,0,192,63,224,15,248,1,31,16,0,0,0,0,0,126,255,248,31,224,7,248,0,15,112,128,0,0,0,224,121,255,63
65,8,126,60,142,17,192,71,1,8,128,13,4,0,238,223,255,225,127,248,15,255,112,128,1,2,0,0,0,0,192,159,224,39,248,4,15,96,128,1,0,0,252,127,240,192,31,224,7,248,0,15,0,0,0,0,0,252,255,255,0
71,16,124,60,142,17,192,199,67,8,128,13,4,0,238,255,255,225,127,248,15,255,240,135,15,2,0,0,2,0,192,31,224,7,248,0,15,112,128,0,0,0,236,121,255,231,31,224,7,248,0,15,112,128,1,0,0,224,121,255,63
37,28,124,62,207,17,48,167,243,132,201,15,4,0,238,255,255,241,127,252,143,255,248,135,1,2,0,28,134,0,244,127,241,95,252,139,191,8,0,0,39,2,18,197,143,255,31,240,7,252,128,15,120,0,1,2,0,224,123,255,63
248,7,114,56,111,0,248,127,28,231,255,255,3,136,63,0,238,129,127,247,239,255,14,0,0,56,60,28,6,0,255,255,127,216,11,107,176,214,127,255,255,239,3,128,15,203,31,158,7,240,0,15,16,0,0,0,0,248,255,255,0
