0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
200,25,0,120,30,16,192,127,91,248,224,127,7,1,204,62,0,128,126,240,31,255,131,128,31,22,4,0,6,0,192,253,127,247,239,192,14,240,255,1,2,0,252,115,238,255,95,252,7,247,0,15,112,128,1,0,0,196,241,255,63
0,238,3,0,0,0,1,10,85,255,114,130,195,113,255,71,0,0,0,8,0,0,0,128,0,0,0,0,10,49,0,0,98,130,14,208,0,33,233,164,65,251,255,105,221,120,0,30,128,7,240,0,15,252,252,249,255,255,253,255,32
1,184,12,4,128,1,0,66,65,8,224,131,195,113,238,231,1,96,0,8,0,0,112,128,0,0,0,44,2,16,0,68,96,17,38,2,34,16,113,4,136,175,199,129,238,127,0,30,128,15,240,0,255,253,226,193,239,227,253,255,56
128,239,3,0,0,0,24,0,93,239,254,129,195,241,255,39,0,0,0,8,0,0,0,0,0,0,0,0,2,0,74,0,30,128,15,240,0,31,127,252,253,255,255,121,255,71,0,30,128,7,240,0,143,255,254,253,255,255,253,255,33
160,18,0,4,128,1,8,195,125,7,112,128,195,241,255,39,1,64,0,8,0,0,16,0,0,0,0,28,6,0,143,102,246,221,23,2,51,15,1,4,238,239,71,128,255,97,1,30,128,15,240,0,127,248,225,193,195,227,249,255,48
33,242,1,4,128,17,8,135,247,7,1,142,195,113,254,55,1,96,0,8,0,0,112,128,1,2,0,28,132,0,3,86,225,255,183,11,255,15,0,0,254,35,20,132,15,33,0,30,128,15,240,0,255,127,255,255,255,227,121,255,60
