0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
225,17,0,0,128,1,200,255,29,232,240,140,199,113,254,55,0,32,0,0,0,0,112,128,1,0,0,28,2,0,195,255,255,191,191,247,0,80,0,0,222,3,0,0,255,225,31,254,135,15,240,0,127,120,224,195,195,227,249,255,52
193,18,14,0,128,0,64,60,128,255,255,128,199,113,238,255,1,32,0,0,0,0,32,128,1,0,0,12,0,0,136,44,62,139,7,1,22,255,126,2,4,228,3,254,255,26,1,126,128,15,240,0,63,248,224,193,195,243,253,255,63
33,31,12,0,0,17,24,4,255,255,129,128,199,241,255,231,1,32,0,0,0,0,0,0,0,0,0,24,134,0,30,0,1,64,160,255,251,223,127,29,254,51,252,135,0,53,0,94,128,15,240,0,79,248,225,195,195,239,121,255,32
224,253,1,0,128,17,64,191,227,23,1,142,195,113,255,39,0,32,0,0,0,0,112,0,0,2,0,28,132,0,192,170,159,226,87,253,253,47,134,255,17,244,251,127,0,192,1,30,128,7,240,0,255,127,255,255,223,227,123,255,0
160,23,0,0,128,17,56,133,254,23,143,143,199,241,239,7,0,0,0,0,0,0,112,128,1,2,0,28,132,0,63,98,225,223,23,11,183,143,5,22,44,236,19,132,15,247,1,126,128,7,240,0,127,120,225,195,195,227,123,255,0
193,25,8,4,0,16,192,62,64,248,0,138,199,241,238,255,1,96,0,8,0,0,64,128,1,2,0,0,0,0,161,8,96,134,71,0,4,224,255,255,1,0,248,255,255,10,1,254,135,15,240,0,15,248,225,193,195,239,121,255,30
224,9,10,4,0,17,184,197,159,16,143,131,199,241,239,199,1,96,0,8,0,0,0,0,1,2,0,28,132,0,63,243,225,124,152,15,248,192,135,255,255,3,8,6,0,53,1,94,128,191,240,0,95,120,225,195,195,235,123,255,0
0,16,0,0,0,0,0,56,93,239,254,143,199,241,255,63,0,0,0,0,0,0,32,128,0,0,0,4,0,0,192,76,30,145,103,242,46,127,123,0,200,203,255,1,255,199,1,94,128,15,240,0,127,248,225,193,195,227,249,255,31
64,9,2,0,0,16,192,62,93,255,240,139,199,241,255,63,0,0,0,0,0,0,0,0,1,2,0,0,128,0,192,157,62,134,71,240,76,127,250,233,1,192,255,127,255,24,0,126,128,7,240,0,15,120,225,195,195,255,121,255,62
32,14,4,0,0,17,152,197,159,16,143,131,199,241,239,199,0,32,0,0,0,0,16,0,0,2,0,24,134,0,94,229,1,32,248,255,210,144,7,8,254,63,24,6,0,53,1,94,128,15,240,0,111,248,225,195,195,235,123,255,32
33,24,12,4,0,17,184,192,31,232,240,132,195,113,254,199,1,64,0,8,0,0,112,0,0,2,0,16,134,0,128,51,224,205,23,0,1,0,0,243,247,7,0,254,15,202,0,30,128,7,240,0,111,248,225,195,195,227,123,255,1
1,16,12,0,0,0,224,62,0,248,254,143,199,113,254,159,0,96,0,0,0,0,96,128,1,0,0,0,128,0,192,77,63,3,96,0,6,176,125,0,0,236,247,253,15,240,1,126,128,7,240,0,15,120,225,195,195,255,249,255,11
1,0,14,4,0,16,24,64,159,248,1,143,199,241,238,247,1,64,0,8,0,0,64,0,1,2,0,0,0,0,0,0,224,190,207,5,28,224,130,239,1,0,0,122,240,193,1,126,128,15,240,0,15,120,224,193,195,255,127,255,56
33,6,14,0,0,17,56,0,160,16,143,1,196,241,255,199,31,224,7,0,0,0,0,0,0,0,0,24,134,0,0,0,0,0,248,255,187,143,1,23,238,47,4,128,15,10,0,96,128,15,240,0,15,120,224,193,195,243,253,255,1
192,23,114,56,14,16,192,127,0,248,143,13,4,128,255,63,30,224,127,240,1,255,0,0,0,2,0,0,128,0,192,255,31,0,248,250,165,15,128,245,41,232,255,129,15,231,1,96,0,0,0,0,16,0,0,194,195,239,123,255,31
